kepid,nkoi,teff,radius,mass,rrmscdpp03p0,rrmscdpp06p0,stellar_type
11229131,0,6382,1.487,1.31,21.576,20.903,Sun-like
8078281,0,5908,1.332,0.9845,19.605,17.95,Sun-like
10866819,0,6426,1.36,1.086,20.564,17.411,Sun-like
11615824,0,5944,0.999,0.9553,19.421,16.747,Sun-like
10934653,0,5999,0.959,1.045,20.627,16.669,Sun-like
9076686,0,4455,0.726,0.7233,21.289,18.995,Sun-like
4138654,0,6191,1.665,1.051,20.365,16.168,Sun-like
4663818,0,3799,0.531,0.545,54.53,65.308,M-Dwarf
6307459,0,6623,1.735,1.3368,19.796,20.608,Sun-like
9204877,0,4990,0.764,0.797,21.704,17.838,Sun-like
7680114,0,5855,1.43,1.12,22.222,18.063,Sun-like
8717023,0,6129,1.202,0.9034,22.244,18.977,Sun-like
6116048,0,5935,1.21,1.0,18.311,15.928,Sun-like
5597604,0,3895,0.587,0.5907,45.545,38.953,M-Dwarf
7422905,0,6093,1.509,1.1112,15.489,12.905,Sun-like
8675146,0,5938,1.476,0.9059,17.22,14.129,Sun-like
8298626,0,6085,1.349,1.125,19.044,16.692,Sun-like
8112746,0,6060,1.685,0.9258,21.747,18.5,Sun-like
5597604,0,3896,0.585,0.587,47.211,39.819,M-Dwarf
9307354,0,5204,0.769,0.723,20.071,16.369,Sun-like
3956527,0,5395,0.748,0.708,20.994,16.817,Sun-like
8940939,0,6342,1.527,1.196,16.937,14.13,Sun-like
10258402,0,5193,1.724,0.883,20.853,20.216,Sun-like
11506859,0,4841,0.58,0.586,21.45,21.206,Sun-like
8077525,0,6528,1.155,1.1768,21.149,18.234,Sun-like
12013550,0,6254,1.706,1.1095,22.195,19.543,Sun-like
10618260,0,5931,1.124,0.908,22.11,21.079,Sun-like
4043389,0,3878,0.628,0.6238,32.666,29.08,M-Dwarf
8179536,0,6344,1.37,1.28,19.245,18.711,Sun-like
6680045,0,6273,1.044,1.099,22.481,18.551,Sun-like
7879979,0,6122,1.045,1.013,22.602,18.211,Sun-like
9356691,0,6195,1.124,1.1784,19.391,16.981,Sun-like
8394589,0,6114,1.15,0.98,17.616,14.938,Sun-like
9163015,0,3162,0.175,0.1492,50.528,52.796,M-Dwarf
12355672,0,5737,1.408,0.918,20.85,16.522,Sun-like
5795961,0,3887,0.569,0.569,43.521,44.534,M-Dwarf
7800922,0,3903,0.584,0.5865,43.156,47.397,M-Dwarf
10454113,0,6120,1.24,1.14,15.87,14.799,Sun-like
11713046,0,3950,0.541,0.563,47.19,54.436,M-Dwarf
7801848,0,5742,0.932,0.9742,17.835,16.764,Sun-like
3936842,0,3521,0.295,0.3003,49.871,48.983,M-Dwarf
11018954,0,3773,0.512,0.526,42.006,37.406,M-Dwarf
3427720,0,6040,1.12,1.08,15.001,13.094,Sun-like
8006161,0,5390,0.93,0.97,16.931,15.842,Sun-like
9117875,0,6725,1.983,1.224,21.765,22.241,Sun-like
8694723,0,6247,1.481,1.007,20.907,17.831,Sun-like
4912785,0,5551,0.957,0.8039,16.977,13.835,Sun-like
4931390,0,6557,1.41,1.37,17.532,15.862,Sun-like
9874022,0,5780,1.0,,13.084,14.31,Sun-like
6314137,0,6387,1.804,1.1922,21.077,17.099,Sun-like
4928476,0,5661,1.112,0.9734,18.08,15.88,Sun-like
11519952,0,6003,0.973,0.7556,19.449,15.679,Sun-like
10801273,0,3961,0.533,0.5468,19.578,17.378,M-Dwarf
8736241,0,6163,1.503,1.125,22.138,18.863,Sun-like
8161825,0,5902,0.989,0.981,21.362,17.685,Sun-like
7422905,0,6093,1.509,1.111,17.035,14.199,Sun-like
10005499,0,5557,0.858,0.769,17.628,14.759,Sun-like
7956461,0,6966,1.808,1.524,9.891,8.186,Sun-like
9516748,0,6403,1.387,1.1741,21.691,19.612,Sun-like
8736241,0,6163,1.503,1.125,20.028,16.768,Sun-like
8542853,0,5569,0.826,0.866,15.275,14.066,Sun-like
5174999,0,6084,1.181,0.9823,21.952,17.821,Sun-like
11454149,0,6248,1.1,1.03,19.603,16.79,Sun-like
7898731,0,3837,0.577,0.583,53.195,57.035,M-Dwarf
10866819,0,6426,1.36,1.086,17.204,14.211,Sun-like
8894567,0,5172,0.714,0.7205,18.658,18.699,Sun-like
12736910,0,6508,1.086,1.031,18.492,16.897,Sun-like
8676175,0,5645,1.21,0.8539,21.704,18.894,Sun-like
5696108,0,3878,0.628,0.6238,42.354,38.186,M-Dwarf
9760362,0,5860,1.25,0.9289,16.933,15.645,Sun-like
12010862,0,3813,0.569,0.5753,29.725,31.699,M-Dwarf
9821786,0,6068,1.632,1.0903,19.59,15.273,Sun-like
10422713,0,5739,1.086,0.8404,17.865,13.813,Sun-like
11565158,0,6000,1.23,1.134,13.823,11.116,Sun-like
9836221,0,5780,1.0,,21.497,23.606,Sun-like
8056313,0,6946,0.933,1.007,16.46,15.153,Sun-like
11081642,0,5993,1.269,1.048,20.533,18.95,Sun-like
9965715,0,6463,1.045,1.0858,14.649,12.781,Sun-like
11968404,0,5204,1.552,0.9414,21.803,19.781,Sun-like
11752083,0,6058,1.098,0.95,19.744,16.743,Sun-like
2834379,0,5452,1.939,1.0454,21.13,16.6,Sun-like
11342861,0,5780,1.0,,12.54,14.963,Sun-like
7620832,0,5810,1.672,1.0298,22.324,22.053,Sun-like
9073458,0,6306,1.748,1.181,20.57,16.78,Sun-like
7700968,0,5868,1.15,0.903,20.646,16.674,Sun-like
11772920,0,5346,0.892,0.7995,14.452,11.793,Sun-like
7731450,0,6443,1.327,1.0714,20.399,19.57,Sun-like
7538021,0,3772,0.501,0.507,45.001,64.873,M-Dwarf
2159700,0,3837,0.503,0.5056,17.748,19.011,M-Dwarf
7879979,0,6122,1.045,1.0134,19.126,15.004,Sun-like
9944337,0,6348,1.72,1.0433,22.505,18.897,Sun-like
9093191,0,5985,1.212,1.0678,21.946,16.596,Sun-like
11444160,0,6046,1.371,1.0645,22.577,22.462,Sun-like
